PRODUCTO,PRECIO,CATEGORIA,SUBCATEGORIA,DESCUENTO
PASCUALINA HORNO,3000.0,REFRIGERADOS,,0
PASTA DE MANI ENTRENUTS NATURAL,3200.0,DIETÉTICA,Saludable,0
PASTA MANI CROPPERS CRUNCHY,3400.0,DIETÉTICA,Saludable,0
PASTRAFROLA CHICA BATATA,1400.0,ALMACÉN,,0
PASTRAFROLA CHICA MEMBRILLO,1400.0,ALMACÉN,,0
PATA  MUSLO,3500.0,CONGELADOS,Pollo Crudo,0
PATITAS POLLO 400G,3100.0,CONGELADOS,Rebozados,0
PATITAS POLLO J/Q 400G,3500.0,CONGELADOS,Rebozados,0
PECHUGA,8000.0,CONGELADOS,Pollo Crudo,0
PIMENTON DULCE 70G,1700.0,ALMACÉN,Condimentos,0
PRICENTON ACEITUNAS VERDES,2000.0,ALMACÉN,Básico,0
PROVENZAL 50G,700.0,ALMACÉN,Condimentos,0
PURE DE PAPA KNORR 125G,3100.0,ALMACÉN,Básico,0
PURE TOMATE SABORES 520g,700.0,ALMACÉN,Básico,0
PUREZA C/ LEVADURA PIZZA,2000.0,ALMACÉN,Básico,0
RAVIOLES RICOTA X64,4000.0,CONGELADOS,PASTAS,10
RAVIOLES VERDURA X64,4000.0,CONGELADOS,PASTAS,10
REBOSAURIOS,10500.0,CONGELADOS,Rebozados,0
ROMERO 30G,800.0,ALMACÉN,Condimentos,0
"SABORIZADA FRESH 1,5 L MANZANA",1600.0,BEBIDA,,0
"SABORIZADA FRESH 1,5 L POMELO",1600.0,BEBIDA,,0
SAL FINA DOS ANCLAS 500G,1800.0,ALMACÉN,Básico,0
SALSA CHIMI AHUMADOX250CC,1500.0,ALMACÉN,Básico,0
SALSA PROVENZAL X250CC,1500.0,ALMACÉN,Básico,0
SALSA SOJA X250CC,1900.0,ALMACÉN,Básico,0
SAN AGUSTIN MOSTACHOL 500G,950.0,ALMACÉN,Básico,0
SECCO 3L LIMA,2300.0,BEBIDA,,0
SECCO 3L POMELO,2300.0,BEBIDA,,0
SIMBA 1L CH A F,5500.0,HELADOS,,0
SIMBA 1L DL V F,5500.0,HELADOS,,0
SIMBA 3 CH F A,13200.0,HELADOS,3 LT,25
SIMBA 3 L DD V F,13200.0,HELADOS,3 LT,25
SORRENTINOS J/Q X10,4000.0,CONGELADOS,PASTAS,10
"TALLARINES HUEV, 200G",2500.0,CONGELADOS,PASTAS,10
TAPA EMPANADA HORNO,2500.0,REFRIGERADOS,,0
TORTA FRITAS X12,3000.0,CONGELADOS,GUSTITOS,10
TROZADO POLLO,3175.0,CONGELADOS,Pollo Crudo,0
YERBA LA TRANQUERA 500G,1600.0,ALMACÉN,Básico,0
YERBA PLAYADITO 500G,2700.0,ALMACÉN,Básico,0
