"Cantidad a la mano","Cantidad pronosticada","Decoración de la actividad de excepción","Etiquetas","Nombre","Precio de venta","Referencia interna","Unidad de medida","Categoría del producto"
"0.0","0.0","","","PASTRAFROLA CHICA MEMBRILLO","1400.0","","Unidades","ALMACÉN"
"18.3","18.3","","","PATA  MUSLO","3500.0","","kg","CONGELADOS / Pollo Crudo"
"3.6","3.6","","","PATITAS DE POLLO GRANEL","1.0","","kg","Insumos de Producción"
"9.0","9.0","","","PATITAS POLLO 400G","3100.0","","Unidades","CONGELADOS / Rebozados"
"14.0","14.0","","","PATITAS POLLO J/Q 400G","3500.0","","Unidades","CONGELADOS / Rebozados"
"5.6","5.6","","","PATITAS POLLO J/Q GRANEL","1.0","","kg","Insumos de Producción"
"11.79","11.79","","","PECHUGA","9000.0","","kg","CONGELADOS / Pollo Crudo"
"0.0","0.0","","","PIMENTON AHUMADO GRANEL","1.0","","kg","Insumos de Producción"
"13.0","13.0","","","PIMENTON DULCE 70G","1700.0","","Unidades","ALMACÉN / Condimentos"
"0.93","0.93","","","PIMENTON DULCE GRANEL","1.0","","kg","Insumos de Producción"
"0.0","0.0","","","PIMIENTA BLANCA GRANEL","1.0","","kg","Insumos de Producción"
"0.0","0.0","","","PIMIENTA NEGRA GRANEL","1.0","","kg","Insumos de Producción"
"41.0","41.0","","","POTES BISAGRA PET 350CC","1.0","","Unidades","DESCARTABLES"
"2.0","2.0","","","PRICENTON ACEITUNAS VERDES","2000.0","","Unidades","ALMACÉN / Básico"
"39.0","39.0","","","PROVENZAL 50G","700.0","","Unidades","ALMACÉN / Condimentos"
"1.95","1.95","","","PROVENZAL GRANEL","1.0","","kg","Insumos de Producción"
"11.0","11.0","","","PURE DE PAPA KNORR 125G","3100.0","","Unidades","ALMACÉN / Básico"
"11.0","11.0","","","PURE TOMATE SABORES 520g","700.0","","Unidades","ALMACÉN / Básico"
"10.0","10.0","","","PUREZA C/ LEVADURA PIZZA","2000.0","","Unidades","ALMACÉN / Básico"
"4.19","4.19","","","REBOSAURIOS ","10500.0","","kg","CONGELADOS / Rebozados"
"0.0","0.0","","","ROLLO ETI. BALANZA 55X44 X 450U","1.0","","Unidades","Insumos de Producción"
"16.0","16.0","","","ROMERO 30G","800.0","","Unidades","ALMACÉN / Condimentos"
"0.5","0.5","","","ROMERO GRANEL","1.0","","kg","Insumos de Producción"
"4.8","4.8","","","SABORIZADA FRESH 1,5 L MANZANA","1600.0","","Unidades","BEBIDA"
"6.0","6.0","","","SABORIZADA FRESH 1,5 L POMELO","1600.0","","Unidades","BEBIDA"
"10.0","10.0","","","SAL FINA DOS ANCLAS 500G","1800.0","","Unidades","ALMACÉN / Básico"
"2.0","2.0","","","SALSA CHIMI AHUMADOX250CC","1500.0","","Unidades","ALMACÉN / Básico"
"2.0","2.0","","","SALSA PROVENZAL X250CC","1500.0","","Unidades","ALMACÉN / Básico"
"2.0","2.0","","","SALSA SOJA X250CC","1900.0","","Unidades","ALMACÉN / Básico"
"10.0","10.0","","","SAN AGUSTIN MOSTACHOL 500G","950.0","","Unidades","ALMACÉN / Básico"
"5.0","5.0","","","SECCO 3L LIMA","2300.0","","Unidades","BEBIDA"
"6.0","6.0","","","SECCO 3L POMELO","2300.0","","Unidades","BEBIDA"
"2.0","2.0","","","SIMBA 1L CH A F","5500.0","","Unidades","HELADOS"
"2.0","1.0","","","SIMBA 1L DL V F","5500.0","","Unidades","HELADOS"
"2.0","2.0","","","SIMBA 3 CH F A","13200.0","","Unidades","HELADOS"
"3.0","3.0","","","SIMBA 3 L DD V F","13200.0","","Unidades","HELADOS"
"4.0","4.0","","","TAPA EMPANADA HORNO","2500.0","","Unidades","REFRIGERADOS"
"0.0","0.0","","","TOMILLO GRANEL","1.0","","kg","Insumos de Producción"
"0.0","0.0","","","TROZADO POLLO","3175.0","","kg","CONGELADOS / Pollo Crudo"
"0.0","0.0","","","TRUTO CORTADO","4468.0","","kg","CONGELADOS / Pollo Crudo"
"11.0","11.0","","","YERBA LA TRANQUERA 500G","1600.0","","Unidades","ALMACÉN / Básico"
"10.0","10.0","","","YERBA PLAYADITO 500G","2700.0","","Unidades","ALMACÉN / Básico"
