"Cantidad a la mano","Cantidad pronosticada","Decoración de la actividad de excepción","Etiquetas","Favorito","Nombre","Precio de venta","Referencia interna","Unidad de medida","Categoría del producto/Categoría principal","Categoría del producto/# Productos","Categoría del producto/Nombre","Productos/Categoría del producto","Seguimiento","Rastrear inventario","Tipo de producto"
"1.0","1.0","","","","LA VIRGINIA TE DURAZNO 6 X 20","1900.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"1.0","1.0","","","","LA VIRGINIA TE FRUTILLA 6 X 20","2800.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"1.0","1.0","","","","LA VIRGINIA TE LIMON 6 X 20","2400.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"0.0","0.0","","","","LA VIRGINIA TE MANZANILLA 6 X 25","2000.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","","Bienes"
"1.0","1.0","","","","LA VIRGINIA TE MENTA 6 X 25","2000.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"1.0","1.0","","","","LA VIRGINIA TE MEZCLA HIERBAS 6 X","2200.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"1.0","1.0","","","","LA VIRGINIA TE ROJO 6 X 20","2800.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"1.0","1.0","","","","LA VIRGINIA TE TILO 6 X 25","4000.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"1.0","1.0","","","","LA VIRGINIA TE TILO/MANZANI/CEDRON","2900.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"1.0","1.0","","","","LA VIRGINIA TE VERDE 6 X 20","2000.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"11.0","11.0","","","","LECHE 7 DIAS","1950.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"25.0","25.0","","","","LEVADURA SECA LEVEX X2U","1174.0","","Unidades","","76","ALMACÉN","ALMACÉN","Por cantidad","True","Bienes"
"4.49","4.49","","","","MANI SALADO GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"1.0","1.0","","","","MANTECA TEODORO","1500.0","","Unidades","","6","REFRIGERADOS","REFRIGERADOS","Por cantidad","True","Bienes"
"5.0","5.0","","","","MANÍ CERV. JAMÓN 170G","1850.0","","Unidades","SNACKS","10","Fraccionado","SNACKS / Fraccionado","Por cantidad","True","Bienes"
"1.0","1.0","","","","MANÍ CERV. PANCETA 170G","1850.0","","Unidades","SNACKS","10","Fraccionado","SNACKS / Fraccionado","Por cantidad","True","Bienes"
"6.0","6.0","","","","MANÍ CERV. PIZZA 170G","1850.0","","Unidades","SNACKS","10","Fraccionado","SNACKS / Fraccionado","Por cantidad","True","Bienes"
"5.0","5.0","","","","MANÍ CERV. TOMATE Y OLIV 170G","1850.0","","Unidades","SNACKS","10","Fraccionado","SNACKS / Fraccionado","Por cantidad","True","Bienes"
"26.0","26.0","","","","MANÍ SALADO 170G","1300.0","","Unidades","SNACKS","10","Fraccionado","SNACKS / Fraccionado","Por cantidad","True","Bienes"
"19.0","19.0","","","","MARROC CHICO 14G","1300.0","","Unidades","","10","DULCES","DULCES","Por cantidad","True","Bienes"
"3.0","3.0","","","","MAYONESA HELLAMNS 237G","1700.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"2.01","2.01","","","","MEDALLON POLLO ESP / Q","8750.0","","kg","CONGELADOS","11","Rebozados","CONGELADOS / Rebozados","Por cantidad","True","Bienes"
"0.29","0.29","","","","MEDALLON POLLO J/Q ","8750.0","","kg","CONGELADOS","11","Rebozados","CONGELADOS / Rebozados","Por cantidad","True","Bienes"
"3.75","3.75","","","","MEDALLON POLLO NATURAL","7750.0","","kg","CONGELADOS","11","Rebozados","CONGELADOS / Rebozados","Por cantidad","True","Bienes"
